Time (d), O2 MC1 (%), CO2 MC1 (%), Time (d), O2 MC2 (%), CO2 MC2 (%), pH MC2, DO MC2 (uM), Time (d), O2 MC3 (%), CO2 MC3 (%), Time (d), O2 MC4 (%), CO2 MC4 (%), Time (d), O2 MC5 (%), CO2 MC5 (%), pH MC5, DO MC5 (uM), Time (d), O2 MC6 (%), CO2 MC6 (%)
2.78772,20.97,0.124,2.78921,20.99,0.121,7.09,195.7,2.79066,20.99,0.118,2.79211,20.96,0.121,2.7936,20.99,0.111,7.17,266.13,2.79506,20.98,0.113
2.82942,20.98,0.123,2.83096,21,0.105,7.11,             ,2.83241,21,0.102,2.83385,21,0.102,2.83535,21.02,0.102,7.2,266.48,2.83679,21.02,0.112
2.87117,20.98,0.108,2.87269,21.01,0.103,7.13,             ,2.87413,21.01,9.30E-02,2.87558,20.99,0.103,2.87705,21.01,9.30E-02,7.23,265.61,2.8785,21,9.40E-02
2.91287,21,0.106,2.91438,21.02,9.70E-02,7.15,             ,2.91583,21.02,9.20E-02,2.91728,21.01,9.10E-02,2.91875,21.02,9.10E-02,7.26,265.72,2.9202,21.01,9.30E-02
2.95457,21.01,0.104,2.95608,21.02,9.30E-02,7.17,             ,2.95753,21.02,8.30E-02,2.95898,21.02,9.10E-02,2.96045,21.04,8.30E-02,7.28,265.84,2.9619,21.02,9.30E-02
2.99627,21.02,9.40E-02,2.9978,21.02,8.40E-02,7.19,             ,2.99926,21.03,8.30E-02,3.00071,21.02,8.30E-02,3.00219,21.02,7.70E-02,7.31,266.07,3.00365,21,8.40E-02
3.03801,21.01,8.40E-02,3.03955,21.01,8.30E-02,7.2,             ,3.041,21.02,8.30E-02,3.04244,21.02,8.30E-02,3.04394,21.01,8.30E-02,7.32,265.61,3.04538,21,8.30E-02
3.07976,21.01,8.00E-02,3.08128,21.03,7.40E-02,7.21,             ,3.08274,21,7.30E-02,3.08419,21,7.50E-02,3.08567,21,7.30E-02,7.34,265.61,3.08713,21,7.30E-02
3.1215,21.02,7.30E-02,3.12303,21.02,7.50E-02,7.22,             ,3.12449,21.02,6.40E-02,3.12594,21.01,6.40E-02,3.12742,21.02,6.40E-02,7.35,265.61,3.12887,21.01,6.50E-02
3.16324,21.02,7.90E-02,3.16477,21.02,7.10E-02,7.23,             ,3.16623,21.03,7.00E-02,3.16767,21.01,6.90E-02,3.16917,21.01,6.90E-02,7.37,265.61,3.17061,21.02,6.90E-02
