MC,TP,B_C,ID,Portion_Filter_Used,Vol_Filtered,Balanced_Atomic_%13C,mm_Carbon,total_C,mm_atomic_C,POC (_M)
MC5,33.6724,C,Glu_POC_TC0.25*,0.5,64,5.44083096,22.98311679,735.4597373,4001.512109,718.2223997
MC5,33.90248,C,Glu_POC_TC0.75*,0.5,58,8.31628402,21.0437574,610.2689647,5075.170039,725.6468069
MC5,34.4085,C,Glu_POC_TC1,0.5,54,13.65446259,17.10066551,461.7179689,6304.510732,633.3579819
MC5,35.45595,C,Glu_POC_TC2,0.5,58.5,16.10429641,21.29394889,622.8480049,10030.52889,727.9982526
MC5,36.39626,C,Glu_POC_TC3,0.5,63,20.11581805,19.81226359,624.0863032,12554.00652,628.9607489
MC5,40.42655,C,Glu_POC_TC7,0.5,64,24.43746273,10.82732896,346.4745268,8466.958338,338.35403
MC5,47.43691,C,Glu_POC_TC14,0.5,64,21.17929396,16.51949521,528.6238466,11195.87984,516.2342253
MC6,33.45715,C,Xyl_POC_TC0*,0.5,60,2.751365754,13.61480718,408.4442154,1123.779427,453.826906
MC6,33.6724,C,Xyl_POC_TC0.25*,0.5,48,6.978854927,12.08461797,290.0308312,2024.083095,503.5257488
MC6,33.90248,C,Xyl_POC_TC0.75*,0.5,47,10.66525014,11.91211355,279.9346683,2985.573259,506.8984489
MC6,34.4085,C,Xyl_POC_TC1,0.5,57,18.16448708,13.92459142,396.8508555,7208.592239,488.5821551
MC6,35.45595,C,Xyl_POC_TC2,0.5,54,15.5434831,17.96163151,484.9640509,7538.030526,665.2456115
MC6,36.39626,C,Xyl_POC_TC3,0.5,59,16.20357604,14.57610911,429.9952188,6967.460225,494.1053936
MC6,40.42655,C,Xyl_POC_TC7,0.5,65,19.37689322,14.33455405,465.8730065,9027.1715,441.0632015
MC6,47.43691,C,Xyl_POC_TC14,0.5,65,17.63349963,23.42474467,761.3042018,13424.45736,720.7613745
NA,T0,Pond,Pond_POC_T0,0.5,118,1.11,10.33,609.47,676.5117,175.0847458
NA,T0_2,Pond2,Pond2_POC,0.5,80,1.08,3.85,154,166.32,96.25
