,AceTB0,AceTB1,AceTB2,AceTB3,AceTB4,AceTB5,AceTC0,AceTC1,AceTC10,AceTC14,AceTC2,AceTC3,AceTC4,AceTC5,AceTC7,C12T18,C12T25,C12TB0,C12TB1,C12TB2,C12TB3,C12TB4,C12TB5,C12TC0,C12TC1,C12TC10,C12TC14,C12TC2,C12TC3,C12TC4,C12TC5,C12TC7,EthTB0,EthTB1,EthTB2,EthTB3,EthTB4,EthTB5,EthTC0,EthTC1,EthTC10,EthTC14,EthTC2,EthTC3,EthTC4,EthTC5,EthTC7,GluT18,GluT25,GluTB0,GluTB1,GluTB2,GluTB3,GluTB4,GluTB5,GluTC0,GluTC1,GluTC10,GluTC14,GluTC2,GluTC3,GluTC4,GluTC5,GluTC7,MetTB0,MetTB1,MetTB2,MetTB3,MetTB4,MetTB5,MetTC0,MetTC1,MetTC10,MetTC14,MetTC2,MetTC3,MetTC4,MetTC5,MetTC7,XylTB0,XylTB1,XylTB2,XylTB3,XylTB4,XylTB5,XylTC0,XylTC1,XylTC10,XylTC14,XylTC2,XylTC3,XylTC4,XylTC5,XylTC7
0ed10e7340d899607a4be81bffa75215,11.59425167,13.254092,0.089028577,0.026274564,0.051344455,0.107577348,0.022414345,0,0,0.009735518,0,0,0,0,0,0,0,18.43283803,17.86582029,0.064112378,0.038906963,0.031451486,0.0214842,0,0,0.02618258,0,0,0.005300541,0,0,0.017435666,18.56444813,17.26152273,0.058545973,0.038949816,0.048508695,0.180603517,0,0,0,0,0,0,0,0,0,0,0,15.42717606,9.194249415,0.067921128,0.024587528,0.020021081,0.020822217,0,0,0.015338861,0,0,0,0,0,0,11.62031555,13.31400323,0.058638623,0.028145839,0.03671072,0.072356493,0,0,0,0,0.013278657,0,0,0,0,19.3030192,10.18275741,0.03388093,0.039611971,0.015009381,0.012183236,0,0,0,0,0,0,0,0,0.004200151
1a969fbdf674dcd4ae7dcfe6228b76ad,0.00673106,0.003012978,0.004046753,0.004957465,0.010268891,0.0026367,0.084320632,0.070578746,0.007027572,0.115744497,0.049252386,0.036765773,0.012896688,0.010847237,0.054009952,0,0.027962642,0,0,0,0.004139039,0.004625219,0.0071614,0.190386147,0.12817104,0.010473032,0.019439688,0.048415277,0.049030001,0.036857723,0.097335824,0.043266281,0,0.009790377,0.006376294,0,0.001347464,0.005016764,9.722790912,8.474476747,15.38675356,0,8.473833427,9.584700758,11.4640884,20.10508343,37.15160245,0.009631271,2.218850583,0.024727992,0,0.004851509,0,0.001177711,0.00455486,0.8027993,1.589056881,0,0,1.758862221,9.868825579,19.02392836,5.240066991,0,0.043204148,0,0,0,0,0,0.109021088,0.049030533,0.026020435,0,0.038273775,0,0.022078217,0.037970838,0.0087003,0.026162943,0.00782687,0.006081193,0.008428079,0,0.009898879,0,0.001644602,0,0,0.014211813,0,0,0,0
0be8037946badb1a6264cde06b6f60e9,0,0,0.004046753,0,0,0.013710838,0.013875547,0,0.128838811,0.147114501,0,0.048376017,0,0,0.017237219,0.053455374,0,0.035590355,0,0.007655209,0,0,0,0.005828147,0.026588673,0,0,0.01052506,0.005300541,0,0,0,0,0,0,0.012171817,0.020885688,0.008361274,0.295957876,0.743775771,63.03720061,67.1708095,1.218276197,2.915448416,7.556399632,6.560019932,10.61361181,0,0.014909273,0.037091988,0.044299565,0.004851509,0,0,0.001952083,0.086978255,0.006504911,0.010225907,0.005630789,0,0,0.004814559,0.027741531,0.024862654,0,0.022815857,0.011535467,0.00793857,0.005710556,0,0.023594116,0.008914642,0,0.028089057,0.003905487,0.004860976,0,0,0,0.041860708,0.006261496,0.013899869,0.005899655,0.004169272,0,0.748228093,0.506537291,56.90325576,2.820084015,0.305080249,2.619401106,58.35297703,76.40801819,83.33800017
093af645556b4d753378847f32456114,0,0,0,0,0,0.008437439,0.0021347,0.00896238,0.048021739,0.028124831,0.002787871,0.003870081,0.002763576,0.005423619,0,2.101640236,10.99118245,0.017795178,0,0,0,0,0.00537105,10.05290663,9.440342517,1.395531506,0.423187062,14.31618684,8.976465599,5.503045447,5.370739595,6.052759033,0,0,0,0,0.003368659,0.008361274,1.56024395,1.042590949,0.125083003,0.037968916,1.020366236,0.394414941,0.235957643,0.249884584,0.250630176,1.316520592,0.006139112,0.018545994,0,0,0,0.002355421,0.009760414,0.020994751,0.013009822,0.028973404,0.082584908,0.042686121,0.092232015,0.08345236,0.097609091,0.016842443,0,0.003802643,0.001922578,0,0,0,0.004067951,0.001485774,0,0.005913486,0.003905487,0,0,0.001898542,0,0,0,0,0,0.008338545,0.011421784,0.029800258,0.093742291,0.985764859,0.128411874,1.583195952,2.252146659,2.326769501,2.430546481,0.882031753
6f94b05c8ba821b221ff3e57f3637312,0.13462121,0.113739935,0.020908226,0.024291578,0.015916781,0.062226113,0.033087843,0.094104994,0.181545597,0.233652442,0.023232258,0.024188009,0.039611257,0.03796533,0.384964549,30.70495447,13.48358593,0.112702791,0.092663529,0.042103652,0.012417116,0.023126093,0.049234625,7.92239498,11.06566039,0.100366556,0.62655611,10.5601437,21.83889007,21.3250039,11.13082249,0.15562946,0.118188714,0.149031297,0,0.017649135,0.030991666,0.052676026,0.676680387,0.623727752,0.017758698,0,0.389656636,0.112775225,0.064127861,0.03517437,0.077061577,0,0.022802417,0.111275964,0.123704447,0.022178328,0,0.021198792,0.04099374,0.063984004,0.023231826,0.009373748,0.018769297,0.059178486,0.035402187,0.015246104,0,0.004812127,0.107210292,0.077954178,0,0,0.010605319,0,0.014644624,0.017086398,0.041632696,0.039916029,0.021870728,0.016203254,0.014917714,0.070246051,0.042258598,0.094186594,0.097053184,0.034749672,0,0.035021889,0.053301657,0.017719072,0,0.009948846,0.025881463,0,0.010418566,0.012548064,0.004355818,0
2db5b39220fb438920ba7778bcf4bc3e,0,0,0,0,0,0.00158202,0,0,0.037480381,0.045432419,0,0,0,0,0,0.926559818,33.29884607,0,0,0,0,0,0,17.13928625,23.82481473,0.030546343,0,16.12369051,23.36412064,34.61627362,6.974425797,0.355170966,0,0,0,0,0,0,1.290864815,0.354924579,0,0,0.097242957,0.023867773,0,0,0.011523227,0.006667803,0.165756032,0,0,0,0,0,0,0.081979505,0,0,0,0,0.054034918,0,0,0,0,0,0,0,0,0,0.056137725,0.021543719,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09503866,0.018090618,0,0,0,0.030387484,0,0,0
46b3406ef4b0f624f7f0fd5407cf9a95,0.015144886,0.106960733,7.8223745,2.027603165,0.465180758,0.620679108,0,0,0,0,0,0.004837602,0,0,0,1.674935056,0,0,0.075881945,11.11823471,7.409706873,0.140606644,0.070718826,0.001295144,0,0,0.038131696,0.028768498,0.009938514,0.00437295,0,0,0.040572245,0.184929346,13.37108872,2.643110143,0.249280791,2.983302536,0.005028411,0,0,0,0.006163286,0.00417686,0,0,0,0.004445202,0,0.009272997,0.115346038,14.99532176,2.668062061,0.120126486,0.042945823,0,0.003717092,0,0.002815395,0.006790974,0,0,0,0.003208084,0.008000768,0.135944481,21.43674238,4.701076759,0.206395823,0.207920957,0.006508722,0,0.006938783,0,0,0.003240651,0,0,0,0,0.032090166,4.382802387,3.146201886,0.108401084,0.204830653,0,0.005756106,0,0,0,0.003472855,0.002688871,0,0
e96be20c155b93c31a23ea5cc2fd01cd,0,0,0,0,0,0.040077835,0.244423097,1.068763864,8.590034904,15.20038942,1.631833769,1.580928239,2.489060845,2.406730711,7.534962825,0.007502509,0.090412542,0,0,0,0,0.030526442,0.020589025,1.139726595,1.229896577,6.064758248,9.899287461,1.373169517,1.144254214,1.044510386,3.117886243,1.908236738,0,0,0,0,0.009432246,0.067726319,0.44321847,0.503027298,0.393007706,0.560674328,0.396504732,0.285219882,0.268843725,0.2315646,0.125315088,0,0,0.006181998,0,0,0,0,0,0.496875781,0.256479356,2.134658156,2.652101692,0.482159142,0.444390617,0.629904832,0.927800097,0.789188756,0,0,0,0,0.01957905,0.009980206,0.027662067,0.023029493,1.233368605,1.422193312,0.046084749,0.092358546,0.130082465,0.518301944,1.053357694,0.020930354,0,0,0,0.018344799,0.024366472,0.132087629,0.117589014,2.184600844,4.151983914,0.394140943,0.51311437,0.156850795,0.22911603,0.580320892
fc169a62076539bcbb44364586da6a81,0,0,0,0.018838367,3.399002891,16.65128592,0.018144946,0.030248034,0.010541357,0.017307588,0.028807999,0.022252968,0.01381788,0.008135428,0.029877846,7.583160619,2.448595343,0,0,0,0.055463117,19.18540651,15.55187539,2.275567759,1.858480082,2.341595392,0.485992209,1.113551366,0.867963532,0.524754022,0.88858188,0.282845242,0,0,0,0.022517862,0.91223295,2.518415706,0.870633364,0.814238739,0.084160786,0.036703286,0.577979264,0.317441375,0.182517758,0.121644695,0.064818149,0.27560251,0.014032257,0,0,0,0.022065731,0.942757374,0.204318007,4.125968508,2.384514594,0.109928504,0.104169599,2.664972157,1.380685312,0.880261912,0.455166603,0.025664675,0,0,0,0.014433763,0.828846468,0.546416274,0.728976829,0.161949335,0.069387826,0.036959286,0.10701035,0.096409359,0.077572112,0.144922033,0.099431995,0,0,0,0.039611971,5.607671461,4.445358187,0.100676546,0.176794671,0.024043045,0.028867786,0.141170674,0.159751344,0.043918222,0.025263745,0.020300731
fbc59ceaed3195e704bfa8c234e92efe,11.77599031,1.753553431,0.01888485,0,0.06212679,0.484625404,0,0,0,0,0,0,0,0,0,0,0,5.816057182,2.231221043,0.022008727,0.014072731,0,0.047444275,0.001942716,0,0.004363763,0,0,0,0,0,0.007103419,9.527421546,2.552024976,0.011593262,0,0.016169565,0.130435873,0,0.001957305,0,0,0,0,0,0,0,0,0,3.573194857,1.664994985,0.017326818,0.018913483,0.013543672,0.333155477,0,0,0,0,0,0,0,0,0,10.2249816,3.046867573,0.010574178,0.008660258,0,0.108118898,0,0,0,0,0,0.001620325,0,0,0,6.85730731,1.66555786,0.014768611,0.021913005,0.025015635,0.093658626,0,0,0,0,0,0.004341069,0,0,0
